Sample Name,Cells,ExpPlate,LMXassayPlate,MIP-1B,IL-6,IFN-g,IL-1RA,IL-5,GM-CSF,TNF-a,RANTES,IL-2,IL-1B,Eotaxin,FGF Basic,VEGF,PDGF-BB,IP-10,IL-13,IL-4,MCP-1 (MCAF),IL-8,MIP-1A,IL-10,G-CSF,IL-15,IL-7,IL-12 (p70),IL-17,IL-9,IL2-Ra,MIG,IFN-a2,SDF1-a,MCP3,IL-16,IL12(p40),LIF,TNFb,MIF,IL18,b-NGF,GRO-a,HGF,IL1-a,IL3,SCF,TRAIL,M-CSF,CTACK,SCGF-b,MMP-1,MMP-2,MMP-3
bufferonly,n/a,0,1,76.5,31,20,27.5,10.5,320,25,42,84,16,77.5,59,56,28,16,13,18,16,14,24,36,22,685,9,21,51,41.5,25,13,24,10.5,23,17,195,43,45.5,17,17,16,40.5,19,225,58,26,24,691,19.5,26,23,4,32
bufferonly,n/a,0,1,76,31,19,25,14,312,23.5,41,85,20.5,80.5,60.5,60,34,17,11.5,22,17.5,19,26,36,20.5,788,17.5,19.5,55,52,21,13.5,24.5,11,22,20,189,53,62,16,22,11.5,43,19,187,50,32,25,539.5,19,28,19,10,38
bufferonly,n/a,0,1,73.5,29,17,29,11,327,21,47,85,15,73.5,55.5,57,35,19,10,18,15,14,23,35,22,695,12,22,51,44,20.5,13,27,10,19,17,200,50,41,18,21,15,48,20.5,260.5,52.5,33,23,589,19,27,24,4.5,27
"nostim, noinh",RA1869,1,1,78.5,2533,49,33,26,285,32,310,86,269,141,89,1386,39,35,107,34,221,90,29,54,23.5,839,21.5,106.5,50,45,32,22,32,21,35,22.5,122.5,47,72,39.5,60,89,53,66,222.5,45.5,76,23,370,24,219,4765,1267,637.5
"nostim, JNKi-JNK-IN-8",RA1869,1,1,63,2639,18,23,10,244,22.5,42,76,13,71,58.5,1011,27,15,18,22,72.5,119,24,48,19,653.5,19,71,44,41,25,18,31,17,27,21,128,50,41,48,31,63,43,45,172,38,52.5,28.5,428,23.5,209.5,3343,718,436
"nostim, p38i-PH797804",RA1869,1,1,63,2947.5,20,26,10,231,21,60,72.5,16,68,49,1145,24,14,15.5,19,264,121,23,49,18,526,16,82,47.5,40,24,20,32,19.5,29,23,133,53,39,32,35,78,52,32,148,59,59.5,25,386.5,19,285,4289,690.5,550
"TNF-a, noinh",RA1869,1,1,133,20757,121,143,13,401,22285,21874.5,124,343.5,168.5,169.5,1095.5,77,17347,23,104,7774.5,11208,70,54,71.5,1261,25,91,113,63,28.5,57,29.5,19,85,40,121,79,48.5,36,32,183,7477,60,171,36.5,57,23,573.5,24,221,28936,717,3857.5
"TNF-a, JNKi-JNK-IN-8",RA1869,1,1,117,15668,126,139,10.5,374,23437,22228.5,126,406,151,178,1190,68.5,6930,19.5,109,6482.5,8087,71,64,68,1344,20.5,84,118,71,23,46,27,15,60,37,137,60,43.5,48,29,162.5,3684,40,147.5,45.5,51.5,23,464.5,20,218.5,34686,1367,10834
"TNF-a, p38i-PH797804",RA1869,1,1,108,13906,123.5,135,13,358,21715,18704,122.5,317,143,150.5,1218,68,1839.5,21,89,7561,8862,71,62,54,1448,25,107,111,66,22.5,30,28,17.5,44,28,161,70,39,36.5,36,126,6692,35.5,161,50.5,59,23.5,632,22,316.5,17617,902,1702
"IL1-a, noinh",RA1869,1,1,209,32573,89,93,12,384,95.5,10366,122,95,128.5,116,1483.5,53,1240,23.5,91,7598.5,12588,97,60,184.5,1414.5,26,134,106.5,57.5,34,39.5,46,23,306,36,180.5,220,116,45.5,52,139,18259.5,56,31295,88.5,62,46,595,35,266,31651.5,673.5,29552
