Sample Name,Cells,ExpPlate,LMXassayPlate,MIP-1B,IL-6,IFN-g,IL-1RA,IL-5,GM-CSF,TNF-a,RANTES,IL-2,IL-1B,Eotaxin,FGF Basic,VEGF,PDGF-BB,IP-10,IL-13,IL-4,MCP-1 (MCAF),IL-8,MIP-1A,IL-10,G-CSF,IL-15,IL-7,IL-12 (p70),IL-17,IL-9,IL2-Ra,MIG,IFN-a2,SDF1-a,MCP3,IL-16,IL12(p40),LIF,TNFb,MIF,IL18,b-NGF,GRO-a,HGF,IL1-a,IL3,SCF,TRAIL,M-CSF,CTACK,SCGF-b,MMP-1,MMP-2,MMP-3
bufferonly,n/a,0,1,69,24,17,26,12,287,17.5,31,65,13.5,61,47.5,53,25,13,12,15,16.5,14,26,31,22.5,620.5,8,22,48,30.5,21,14,21,11,22,18.5,228.5,48,50,15,16,12,44,17.5,357.5,82.5,27.5,24.5,793,18.5,23.5,25,4,36
bufferonly,n/a,0,1,69,24,16,23,12,262.5,19,32,67,13,56,43,53,29,15,14,18.5,17.5,11.5,26,36,20,616,8,16,44,35,20.5,15,24,11,21,16,201.5,41.5,48,17,17,13,46,22,291,74,32,18,831,17,25,22,6,32
bufferonly,n/a,0,1,74.5,27.5,19,25,10.5,272.5,21,36,56,13,44,43,58.5,27,15,12,20,17,14,23,37,19.5,753,10,18,43,44.5,18,11,22.5,10,19.5,18,218,40.5,51,16,20,13,41,20,398,65,34,25,692,18,25,24,3,38
"nostim, noinh",N2759,1,1,63,1443,16,21,12,237,20.5,30,59,38,51,44,1174,22,13,20,19,181,186,19,50,14,584,18,94,38,38,49,44,25,14.5,19,51.5,159,41,45,27,24,45,1645,77,243.5,42,44.5,18.5,527,19,146,967,505,65
"nostim, JNKi-JNK-IN-8",N2759,1,1,63.5,1365,18,25,12,259,19,36,69,13.5,51,54,984.5,24,14,18.5,15,92.5,160,24,48,17,631,19,80,44,40.5,21,56,21,14,17,49.5,165,41,40,27,25,29.5,928,43,241,44,52,21,443.5,19,129,904,390,123
"nostim, p38i-PH797804",N2759,1,1,60.5,1278.5,16,25,9,237,21,53,66,15,47,50,1025.5,23,12,15,19,180,184,20,51,18,548.5,20,73,35,41,35.5,53,23,17.5,24,55.5,173,46,36,27,27,46.5,1578,70.5,255,34.5,47,23,441.5,18,166,1042,320.5,242
"TNF-a, noinh",N2759,1,1,151,14921,95.5,115,11,248.5,23284,13480.5,108.5,305.5,128,160.5,1221,59.5,4266,19,90,5246,10681,87.5,47,71.5,1194.5,19,75,90,59.5,33,196.5,26.5,15.5,32,236,154,54,44,25,25,120.5,18508.5,62.5,281,45.5,41.5,22,893,18,248.5,30579,629.5,2445
"TNF-a, JNKi-JNK-IN-8",N2759,1,1,107,11983,105,143.5,10,345.5,24803.5,18760,114.5,373,130,172,985,61,1460,20,83,4771,11659,75,58.5,53.5,1107,25,97,110,60.5,18,113,20.5,13,22,163,121.5,44,28,28.5,19.5,100,13000,34,180,27.5,37,20.5,540,17,185.5,26722,417,8606
"TNF-a, p38i-PH797804",N2759,1,1,129,4975.5,125,127,9,360,25615,26437.5,118.5,414,148,163,982.5,70.5,2157,16,107,6955,9562,75,50,64.5,1429,25,73.5,115,70,37,202,26,17,30.5,232.5,179,55,42,26,23,77.5,13064.5,54,287,51,45.5,25,865.5,19,323,17674,454,5743
"IL1-a, noinh",N2759,1,1,528.5,38034,84,88.5,12.5,405,97,9948,108,91,115.5,104,1553,52.5,1079,21,76,7841,12419,491,61,1304.5,1307,25,101,91.5,53,25.5,71,33,20,144,99,179,192,93,28,44,112,17435,51,34389,66.5,39,43,793,25,162,33522.5,649,19340
"IL1-a, JNKi-JNK-IN-8",N2759,1,1,200,32470,58.5,67,11,342,79,2670.5,89,71.5,90,91,1337.5,35,178.5,16.5,76,4135,10336.5,154,37,73.5,992.5,19,65,69.5,46,31,107,34,17,71.5,104,202,181,83,38,41.5,97,19159.5,59,30481.5,87,47,50.5,816,31,165,25969,444,32199
"IL1-a, p38i-PH797804",N2759,1,1,560,30048,69,78,13,332,83.5,15432,101,70,88,96.5,1207,45,857.5,14,62,7348,10767,213,53,585,1388.5,24.5,86,90,64.5,34,185,41,22,95,238,184,163,133,33,38.5,91.5,18760,65,34526.5,95.5,50,45,941,30,312.5,20812,485.5,26083
"PolyIC, noinh",N2759,1,1,1229,30402,66,82,9,355,71.5,21228,93,68.5,89,99,1506,50,10525.5,21,57.5,5863.5,7910,418,57.5,69.5,1041,30,91,81.5,57,15,58,23,14,28,54.5,105,42.5,40,25,19,73,17343,28,235,31.5,36.5,24,559,17,142.5,2628.5,413.5,229
"PolyIC, JNKi-JNK-IN-8",N2759,1,1,215.5,9982.5,23,28,10,255.5,39.5,14864,67,21,60,55,1039,27,2763,18,23,935.5,1666,34,40,23,497,21,50.5,48.5,34,18,71,19,11,22,61.5,146.5,32.5,34,27,23,43,8739,33,264,35,35.5,24,335,14,139,1398,370.5,603
"PolyIC, p38i-PH797804",N2759,1,1,865,15955,42,48.5,11,333,55.5,23993,77,45,74,76,1038.5,35,5440,20,40,4892,5501,138,40,43,872,30,66,63,43,19,91,17,14,27,89,170,44.5,42,25,19,48,17046,34,237,33,40,21,521.5,17,193,2271,541,1151
"nostim, noinh",N2759,1,1,63,1200,16,24.5,12,231,21,31.5,62.5,13,53,40.5,958.5,25.5,12,16,16,199,219,23.5,47,15,549,22,75,34,39,31,45,20.5,14,18,50,136,37,39,22,21.5,29,1951.5,50.5,230,34.5,35,20,502.5,15,92,386,444,59
"nostim, JNKi-JNK-IN-8",N2759,1,1,61,1177.5,17,21,11,232,21,39,61,11,47.5,46,1151,24,12,19,15,117,183,21,58,15,532,26,73,35,39,20.5,49,21,13,16,38.5,140,36,31.5,18.5,18.5,31,1218,41,236.5,32.5,37,19,472.5,15,127,699.5,287,78.5
"nostim, p38i-PH797804",N2759,1,1,62,1257,15.5,20,10,250,21,36,59.5,12,46,41,976,27.5,14,18,16.5,215,176,22,44.5,16,566,20,69.5,40,39.5,30,53.5,23,12,16,59,195,35,36,21,22.5,35,1513,44,253.5,45.5,39,22,488.5,19,151,665,351,107
"nostim, TAK1i-oxozeaenol",N2759,1,1,59,895,14,19,10,191,19,37.5,38,12,47,34,654,20,8,12.5,13,85,156,17,31,12,518,20,41.5,25,29,32,32.5,18,9,15,33,171,36.5,46,21,21,31.5,855,48,281,47,33,19,587,16,86,255.5,227,50
"nostim, IKKi-IKK16",N2759,1,1,62.5,1055,16,24,10,202.5,20,37,50,15,48,37,1114.5,23,13,16,20,136,210,19,39,17,563,22,69,34,37.5,35,35,19,11,18,36,146,31,40,26,21,25.5,1546,38,242,56,31,17,669,13.5,93.5,279.5,351.5,130
"nostim, JAKi-tofacitinib",N2759,1,1,62.5,1210.5,15,21,10,221,18.5,59,60,13,47,40,1128,20,10,13,15,198.5,237,20,44,17,527.5,21,72,32,34,27,56.5,19,14,16.5,57,161,40.5,38,25,17,39,1566.5,40,222,34.5,35,18,687,18,133,395,297.5,63
"nostim, noinh",N2759,1,1,63,1103,16,27,11,244.5,19,47,66,13,47.5,45,1136.5,22.5,13,17,19,218.5,250.5,20.5,51,15,589,19,94,38,44,37.5,53,20,12,16,47,176.5,37,38,21.5,23,27,1423,61.5,282,66,36.5,19,522,16,145.5,607.5,506.5,70
"TNF-a, TAK1i-oxozeaenol",N2759,1,1,94.5,1429,87.5,115,11,323,25272,102,98,372,104,1408,1042.5,48,31,15,76,465,270,53.5,51,42,695,20,69,79,51.5,29,52,21,12,20,63,157,42,39,318.5,18.5,49,1603.5,47,300,52,38,21,849,17,125,13403,369,5401
"TNF-a, IKKi-IKK16",N2759,1,1,74,3140,88,35.5,10,145,6326,1347,79,279,73.5,203,801.5,41,24,14,55,1008,2062,37,31,33,767,15.5,56,54,42.5,29,104,20,15,21,105,162,46,36,83,20.5,34,7096,46,229,41.5,44,20,890.5,19,187,18415.5,519,5014
"TNF-a, JAKi-tofacitinib",N2759,1,1,144,11448.5,117,142,9,342,24541,23924,103.5,422,116,163,1320.5,65,1769,20,107,8181.5,11541,75,73.5,65.5,1467,24,98,105.5,61,26.5,271,23,21,32,279,145.5,59.5,37,26,23,104,15557,54,199,49,51,24.5,1000,20,348,842,210,65
"TNF-a, noinh",N2759,1,1,153,13336,134,145,11,404.5,25569,24495,131,465,121.5,177,1406,60.5,3636,22,107,8641.5,12325,102,70,66,1762,23,106,116.5,74,30,273,26,17,34,294,176,54,43,23,25.5,106,16635,46.5,445,69,44,23,997,23,363,2964.5,398,116
"IL1-a, TAK1i-oxozeaenol",N2759,1,1,66,592,13.5,21.5,8,236.5,17.5,25,52,11,27,40,308,20,10,13,16,100,102.5,16.5,34.5,13,716,21,34,33,30,32,45,35,17,19.5,56,170,96,76,36,55,48,1248,62,33978,63.5,38,42,825.5,18,114.5,19968,484,24622.5
"IL1-a, IKKi-IKK16",N2759,1,1,66,13665.5,28,36,9,240.5,31,425.5,63.5,27,50,60,1307,27,20,16,27,1012,4850,23,50,42.5,667,19,74,43,44,39,87.5,41,18.5,26,79,194.5,127.5,92,32.5,41.5,62,18166,65,34743.5,81,45,49,612.5,27,166,25866.5,454,26677
"IL1-a, JAKi-tofacitinib",N2759,1,1,568,37759.5,95,108,10,375.5,89.5,13759,112,87.5,106,120,2514,55,2143.5,22.5,80.5,7432,12908,476,70,1343,1412.5,28.5,134,100,67,30,102,37.5,18,126,119,217,202,79,31,41,132,20530.5,65,33247,66.5,46.5,47.5,737.5,30,169,420,253,101.5
"IL1-a, noinh",N2759,1,1,374,39896,78.5,86,8.5,404.5,90,11387,96.5,93,77,101.5,1904,53,842.5,21.5,72,7618,12419,380,53,1182.5,1349,23.5,116,98.5,62,25,102,38,15.5,132,103.5,199,201,108.5,30,45,104,18920,59,35326,64,48,40,716,28,181,5418.5,517,1042.5
"PolyIC, TAK1i-oxozeaenol",N2759,1,1,60,1100,14.5,22.5,9,212.5,22,6040.5,47,14,46,44,1128,22,29,12,18,151,125,21,42,17,420,26,71,33,36,22.5,41.5,21,10.5,16.5,48,123,32.5,31.5,20,21,42,619,35,242,36.5,35.5,23,359,13,126,2302.5,344,603
"PolyIC, IKKi-IKK16",N2759,1,1,66,5496,17,24,10,235,23,6357,53,17,46,41.5,1572,24,174,17,20,594,1105.5,21.5,43,19,513,24.5,69,37,37,15,54,21,11,16,68,113,31,39,23,15,35,9488.5,22,244,33.5,39,21,457.5,15,138,2328,308.5,494
"PolyIC, JAKi-tofacitinib",N2759,1,1,1031.5,26186,46,66.5,11,290.5,61,19925,73,46,72.5,76,1539,39,8294,17.5,44.5,4916,7275,258,39.5,53,675,25,109,79,51,14,42,21,13.5,20,75,91,35.5,40,20,15,63,16955,25,211,34,35,21,337,16,142,400.5,309,133
"PolyIC, noinh",N2759,1,1,966,30550,65,82,10,359,68,21456,67,65,83,93.5,1465,42.5,8129,25,56,5823,8050,395,52.5,73.5,707.5,29,93.5,79,48.5,16,55.5,19,12,26,71,80,32,29,18,18,61,17435,22,208,31.5,35,22,305,17,110,813.5,487,112
"nostim, TAK1i-oxozeaenol",N2759,1,1,55,1088,12,22,11,208,18,26.5,49,11,41,33,856,19,12,13,15,81,110,18,29,15,543,21,52.5,28,34,20,30.5,19.5,10,17,37,134,29,25.5,18,16,36,720,34,204,35.5,33,17,549,12,99,601.5,325.5,138
"nostim, IKKi-IKK16",N2759,1,1,59,1496.5,13,22.5,10.5,215,19,34,45.5,12,44,37,1456,19,12,13,15,124,165,17,40.5,15,491.5,18,72.5,30,33,24,50,18,12,17,49,160,37,36,19.5,20,31,1469,37,222,36,42,17,538.5,19,130.5,341,284,65
"nostim, JAKi-tofacitinib",N2759,1,1,63.5,1439,14,23.5,11,215.5,19,30,69.5,12,42,36,1343.5,21,12,13,18,178,235.5,22,41,15,542,24,75,30,31,28,54.5,19,11.5,15,62,122,36,30,23.5,18,36,2095.5,44,305,48,39,19,591,14,143,959,296.5,89
"nostim, noinh",N2759,1,1,62,1171,14,21,11,229,19,37.5,48,11,42,45.5,1192,22,11,15,16.5,213,175,18,41.5,16,482,24,65,34,33,23,52.5,19,12,14,58,136.5,29,38,18,17,29,1710,35.5,165,31,32.5,19,662,12,125,596,287.5,69
